127.0.0.1 - - [06/Nov/2012:11:10:44 +0000] "GET / HTTP/1.1" 200 3273
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:12:29 +0000] "GET /rewards-online/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:12:30 +0000] "GET /rewards-online/login;jsessionid=BAAE29364A17281011567AEEB2E33427 HTTP/1.1" 200 2468
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:12:30 +0000] "GET /rewards-online/styles/forms.css HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:12:30 +0000] "GET /rewards-online/styles/entity.css HTTP/1.1" 200 792
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:12:30 +0000] "GET /rewards-online/styles/tables.css HTTP/1.1" 200 389
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:12:30 +0000] "GET /rewards-online/resources/images/springsource_banner_green.png HTTP/1.1" 200 53205
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:12:30 +0000] "GET /rewards-online/resources/styles/richweb-green.css HTTP/1.1" 200 1234
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:12:30 +0000] "GET /rewards-online/resources/styles/entity.css HTTP/1.1" 200 792
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:12:30 +0000] "GET /rewards-online/resources/styles/tables.css HTTP/1.1" 200 389
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:12:30 +0000] "GET /rewards-online/resources/styles/forms.css HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:14:40 +0000] "POST /rewards-online/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:14:40 +0000] "GET /rewards-online/ HTTP/1.1" 200 2071
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:14:40 +0000] "GET /rewards-online/styles/forms.css HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:14:40 +0000] "GET /rewards-online/styles/entity.css HTTP/1.1" 200 792
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:14:40 +0000] "GET /rewards-online/styles/tables.css HTTP/1.1" 200 389
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:14:40 +0000] "GET /rewards-online/resources/images/springsource_banner_green.png HTTP/1.1" 200 53205
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:14:40 +0000] "GET /rewards-online/resources/styles/richweb-green.css HTTP/1.1" 200 1234
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:14:40 +0000] "GET /rewards-online/resources/styles/entity.css HTTP/1.1" 200 792
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:14:40 +0000] "GET /rewards-online/resources/styles/forms.css HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:14:40 +0000] "GET /rewards-online/resources/styles/tables.css HTTP/1.1" 200 389
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:14:49 +0000] "GET /rewards-online/rewards/newReward HTTP/1.1" 302 -
0:0:0:0:0:0:0:1%0 - - [06/Nov/2012:11:14:50 +0000] "GET /rewards-online/rewards/newReward?execution=e1s1 HTTP/1.1" 200 3545
